id,title,description,category
WKtkPBe5cs,Kaffebarejeren,"En charmerende, rolig type der laver verdens bedste kakao.",character
6XAx9MKg9b,Slædeturen,"En romantisk slædetur med tæpper og nervøs latter.",visual
xn1MuMLZSu,"Jeg tror bare ikke på mirakler","Karakterens sidste forsvar før julemagi ændrer alt.",quote
RFhHnPpiqF,Kæledyr bringer dem sammen,"Et bortkommet eller adopteret dyr skaber mødet.",subPlot
uhSo3OKec3,Snefnug i håret,"Kameraet zoomer ind på snefnug der smelter i håret.",visual
oB17OSHaSm,Projekt i sidste øjeblik,"Et projekt skal reddes inden jul, og parret arbejder sammen.",mainPlot
Cm6XaDw9Pc,Den forkerte kæreste,"En partner der tydeligvis ikke er “den rigtige”.",character
n05iF3gHUj,Du ser anderledes ud her,"En replik fra en gammel klassekammerat.",quote
umASBxAIlT,Hele byen hepper,"Lokalsamfundet fungerer som matchmaker.",character
icee6RoysE,Perfekt pyntet hjem,"Et julepyntet hus der er helt urealistisk flot.",visual
j6MPCFeSWU,Gammel pynt med historie,"En ornament genopliver barndomsminder.",visual
Ot62uvaPbb,Jul handler om traditioner,"Moraliserende julesætning fra en mentor.",quote
QjxZM9aX8f,Velgørenhedsprojekt,"Parret mødes som frivillige ved et juleevent.",subPlot
R4pgDEDojy,Kokken uden inspiration,"En bager eller kok der skal genfinde gnisten – og kærligheden.",character
6FJzdzReHT,Antijul-chefen,"En chef der skaber konflikter pga. sit julehad.",character
Dh7thtkc7t,Juletræ vælter,"Et komisk øjeblik når træet tipper.",visual
OIR6Ukq5M2,Den lille butik redder julen,"En lokal butik har løsningen på julens problem.",mainPlot
5dF9EoRd1V,Deadline d. 24. december,"Noget vigtigt skal være færdigt inden juleaften.",mainPlot
XftpOzs1Lq,Lokal kunstner,"En kreativ person forbinder kunst og kærlighed.",character
LBG2hrimE7,Konkurrence-kaos,"Noget går galt i en konkurrence og skaber fysisk komik.",visual
MWwfHOWWwY,Det her var ikke planen,"Replik ved vendepunktet.",quote
qZUcIvzjXC,Skøjtescenen,"Et fald på isen fører til øm romantik.",visual
4N7n6A7ZDM,Storbytræt hovedperson,"En person flygter fra storbyens stress til en lille by.",character
UQwWpoI3vY,Overivrig ven,"En ven arrangerer romantiske øjeblikke bag kulisserne.",character
wz5pu39NzF,Magisk tidsrejse,"Et juleønske tager karakteren til en alternativ virkelighed.",mainPlot
NKMoG2I1Tc,En ny familie,"Karakterer finder en “familie” i lokalsamfundet.",subPlot
iRm4YcSlRh,Følg dit hjerte,"Mentorens go-to juleråd.",quote
NpFArqmDnj,Julemarked,"Romantik mellem boder og lys.",visual
c8y702ixRC,Papirhjertet,"Hjemmelavet pynt får sentimental betydning.",visual
eJbOUJ1Mgw,Aflyst rejse,"En aflyst rejse skaber nye muligheder.",subPlot
Ju7Cln3tTD,Skjult identitet,"En karakter skjuler sin baggrund eller status.",mainPlot
GTg4GhNfsb,Kor-optræden,"En følelsesladet scene til juleshowet.",visual
hJqEtC5TnF,"Jeg tror, jeg har kendt dig altid","Et skæbnesvangert øjeblik.",quote
RsRifes2LY,Den perfekte men kedelige mand,"En fejlfri men gnistløs bejler.",character
bs3d121LVo,Uventet gæst,"En person dukker op juleaftensdag og vender alt på hovedet.",subPlot
osUZfe8vI1,Julemagi ved midnat,"Noget overnaturligt sker lige ved midnat.",visual
LMa3W7Cu4j,Overraskelsesfest,"En hemmelig julefest planlægges.",subPlot
KYnztPpq0o,Peberkagehus i verdensklasse,"Et overdådigt peberkagehus overrasker alle.",visual
JVD14DxTHy,Du er ikke den jeg troede,"Replik ved konfliktens højdepunkt.",quote
bq7aQcMGAv,Den stædige lokale,"En stærk lokalperson nægter at give op.",character
F3hikxZAG5,Julegalla,"En velgørenhedsgalla bliver dramatisk og romantisk kulmination.",mainPlot
E4LSzayxCg,Fyrværkeri i sneen,"Finale med lys og sne.",visual
iU4Osiz2bD,Jeg kan ikke miste dig igen,"Replik før forsoning.",quote
icwBNnI7p4,Ødelagt plan,"En ferieplan falder fra hinanden og ændrer retning.",subPlot
sU0cvGMk2X,Forvekslede gaver,"Pakker bliver byttet og fører karakterer sammen.",subPlot
D58am6L0J2,TV-interview går galt,"Et interview ender med kaos og romantik.",subPlot
Ih1rdMQGKL,Jeg troede ikke på kærlighed før dig,"Finale-replik.",quote
HhgN8MOzF0,Hemmelig beundrer,"En flirt starter med hemmelige beskeder.",subPlot
wIpUqImuGS,Afsløring af hemmelighed,"Et sandhedsøjeblik skaber drama før happy ending.",mainPlot
97C0pDwF3o,Lokale juletraditioner,"En tradition forener parret.",visual
rypT1q4Q4P,Mall-julekaos,"En scene i et overpyntet butikscenter.",visual
7ShuDtFEBd,Overeksponeret belysning,"Julelys så stærke at man kniber øjnene sammen.",meta
qFGVtMDwER,Indspillet i Canada,"Arkitektur og natur afslører Vancouver-området.",meta
XYWAy91G5j,Sneskum-effekt,"Sne der ligner sæbeskum.",meta
BIxayBHElB,Manden fryser aldrig,"En mand uden hue eller jakke fryser aldrig i sneen.",meta
wpPtzUKeJP,Rekvisit-genbrug,"Man genkender rekvisitter fra andre film.",meta
lpJpGRH3AR,Det må være skæbnen,"En sætning der forklarer tilfældigheder.",quote
1HB8TiNeOi,Parallel kærlighed,"En sidekarakter finder også kærlighed.",subPlot
LmnjjTE0Fg,Overraskende sangstemme,"En karakter synger overraskende godt.",visual
8fyTTyrhNy,Frieri fra den forkerte,"En person bliver friet til af den forkerte.",subPlot
nbwLuedz3M,Slutkys i sne,"Filmen slutter med et kys i snevejr.",visual
Dt6eS692jf,Juleborgmesteren,"En ekstremt juleglad borgmester styrer byen.",character
bLvP9pyqli,Pyntestige-ulykke,"Nogen falder ned fra en stige under pyntning.",visual
qVtaFKdtR5,Julen forbinder os alle,"Klichéfyldt afsluttende replik.",quote
NzhgHB6uNf,Juleuniformen,"Alle i byen går i perfekt farvekoordineret vintertøj.",visual
